id_orden,fecha_venta,mes_venta,categoria,metodo_pago,region,estado_envio,genero_cliente,precio_unitario,cantidad,descuento_pct,total_venta,edad_cliente,calificacion,dias_envio,costo_envio,comentario_cliente,descripcion_producto
ORD-00011,2023-02-14,February,Electrónica,Transferencia,Sur,Entregado,F,151.89,5,0.18,622.75,63,3.5,3,34.26,"Producto de alta calidad, superó todas mis expectativas.",Diseño ergonómico ideal para uso diario y profesional.
ORD-00012,2023-10-30,October,Ropa,Transferencia,Centro,Entregado,M,4851.05,11,0.1,48025.4,64,1.9,6,215.69,Tardó más de lo esperado pero el producto está bien.,Fabricado con materiales sustentables y proceso ecológico.
ORD-00013,2023-08-05,August,Alimentos,Transferencia,Centro,Entregado,F,4170.59,15,0.32,42540.02,60,3.9,3,247.23,"Producto de alta calidad, superó todas mis expectativas.",Fabricado con materiales sustentables y proceso ecológico.
ORD-00014,2023-01-17,January,Libros,Tarjeta de crédito,Este,Entregado,M,1101.08,3,0.25,2477.43,55,3.2,1,218.64,Servicio al cliente muy atento y resolvieron mis dudas rápido.,Alta resistencia y durabilidad probada bajo estándares internacionales.
ORD-00015,2023-01-16,January,Ropa,Efectivo,Oeste,Devuelto,F,950.03,5,0.21,3752.62,63,2.8,10,68.73,Servicio al cliente muy atento y resolvieron mis dudas rápido.,Alta resistencia y durabilidad probada bajo estándares internacionales.
ORD-00016,2023-02-17,February,Belleza,Tarjeta de crédito,Norte,Entregado,No especificado,957.85,5,0.16,4022.97,20,4.2,6,286.99,Tardó más de lo esperado pero el producto está bien.,Alta resistencia y durabilidad probada bajo estándares internacionales.
ORD-00017,2023-04-22,April,Alimentos,Efectivo,Este,Entregado,F,1556.0,9,0.12,12323.52,36,2.0,5,7.58,"El producto no cumplió mis expectativas, la calidad es regular.",Edición especial con características exclusivas para el usuario.
ORD-00018,2023-04-30,April,Hogar,Efectivo,Oeste,Entregado,F,2647.54,15,0.33,26607.78,37,4.5,3,99.81,No era exactamente lo que buscaba pero funciona correctamente.,Compatible con múltiples plataformas y sistemas operativos.
ORD-00019,2023-09-16,September,Electrónica,Efectivo,Sur,Entregado,F,2188.13,3,0.18,5382.8,42,3.2,14,78.03,No era exactamente lo que buscaba pero funciona correctamente.,Dispositivo de última generación con tecnología avanzada.
ORD-00020,2023-11-05,November,Ropa,Transferencia,Norte,Entregado,F,1491.58,6,0.2,7159.58,28,3.4,14,14.44,"Entrega puntual, producto exactamente como se describía en la página.",Producto certificado con garantía extendida de 12 meses.
ORD-00021,2023-01-14,January,Deportes,Transferencia,Oeste,Entregado,M,3078.67,17,0.21,41346.54,34,4.5,4,121.72,No era exactamente lo que buscaba pero funciona correctamente.,Producto certificado con garantía extendida de 12 meses.
ORD-00022,2023-10-15,October,Deportes,Transferencia,Oeste,Cancelado,M,740.49,8,0.18,4857.61,66,4.3,2,186.93,"El producto no cumplió mis expectativas, la calidad es regular.",Producto certificado con garantía extendida de 12 meses.
ORD-00023,2023-04-12,April,Alimentos,Tarjeta de crédito,Este,Devuelto,M,1496.12,11,0.1,14811.59,52,3.4,12,264.77,No era exactamente lo que buscaba pero funciona correctamente.,Alta resistencia y durabilidad probada bajo estándares internacionales.
ORD-00024,2023-11-29,November,Belleza,PayPal,Oeste,Entregado,No especificado,1863.49,6,0.05,10621.89,31,4.0,10,296.91,No era exactamente lo que buscaba pero funciona correctamente.,Producto certificado con garantía extendida de 12 meses.
ORD-00025,2023-12-26,December,Juguetes,Efectivo,Centro,Devuelto,M,2307.55,8,0.04,17721.98,56,2.7,10,242.43,El empaque llegó dañado aunque el producto estaba bien.,Compatible con múltiples plataformas y sistemas operativos.
ORD-00026,2023-10-07,October,Ropa,Tarjeta de crédito,Oeste,Entregado,F,3936.62,10,0.3,27556.34,36,3.2,13,140.6,"El producto no cumplió mis expectativas, la calidad es regular.",Producto certificado con garantía extendida de 12 meses.
ORD-00027,2023-08-03,August,Juguetes,Transferencia,Norte,En tránsito,No especificado,1038.39,3,0.09,2834.8,20,1.2,14,217.11,No era exactamente lo que buscaba pero funciona correctamente.,Edición especial con características exclusivas para el usuario.
ORD-00028,2023-04-23,April,Hogar,Transferencia,Oeste,Entregado,F,2595.46,14,0.02,35609.71,51,1.4,4,253.09,"Excelente producto, llegó a tiempo y en perfectas condiciones.",Compatible con múltiples plataformas y sistemas operativos.
ORD-00029,2023-08-18,August,Electrónica,PayPal,Sur,Entregado,M,2982.45,14,0.32,28392.92,66,4.3,4,139.59,"El producto no cumplió mis expectativas, la calidad es regular.",Compatible con múltiples plataformas y sistemas operativos.
ORD-00030,2023-10-29,October,Hogar,Transferencia,Centro,Cancelado,M,279.93,10,0.06,2631.34,58,1.2,3,235.52,Servicio al cliente muy atento y resolvieron mis dudas rápido.,Diseño ergonómico ideal para uso diario y profesional.
ORD-00031,2023-05-23,May,Libros,Efectivo,Norte,Entregado,M,3057.35,12,0.25,27516.15,39,1.7,6,144.8,Servicio al cliente muy atento y resolvieron mis dudas rápido.,Fabricado con materiales sustentables y proceso ecológico.
ORD-00032,2023-01-04,January,Belleza,Tarjeta de débito,Norte,Entregado,F,894.09,6,0.14,4613.5,55,4.2,1,115.95,"Excelente producto, llegó a tiempo y en perfectas condiciones.",Edición especial con características exclusivas para el usuario.
ORD-00033,2023-03-23,March,Juguetes,Transferencia,Este,Entregado,M,372.01,12,0.05,4240.91,44,1.0,9,157.83,"Producto de alta calidad, superó todas mis expectativas.",Material premium con acabado de alta calidad y durabilidad.
ORD-00034,2023-12-24,December,Ropa,PayPal,Este,Entregado,F,4746.98,14,0.17,55159.91,38,2.1,11,202.76,"Producto de alta calidad, superó todas mis expectativas.",Diseño ergonómico ideal para uso diario y profesional.
ORD-00035,2023-08-05,August,Juguetes,Tarjeta de débito,Centro,Entregado,F,4829.88,2,0.01,9563.16,58,3.3,10,218.06,"Excelente producto, llegó a tiempo y en perfectas condiciones.",Material premium con acabado de alta calidad y durabilidad.
ORD-00036,2023-06-24,June,Hogar,Efectivo,Norte,Entregado,M,4051.57,9,0.34,24066.33,48,3.4,3,107.02,"El producto no cumplió mis expectativas, la calidad es regular.",Edición especial con características exclusivas para el usuario.
ORD-00037,2023-05-23,May,Alimentos,Efectivo,Sur,Cancelado,M,1557.84,10,0.21,12306.94,44,4.1,3,171.4,"Entrega puntual, producto exactamente como se describía en la página.",Alta resistencia y durabilidad probada bajo estándares internacionales.
ORD-00038,2023-03-21,March,Belleza,Efectivo,Oeste,Entregado,F,533.48,17,0.06,8525.01,54,3.0,12,272.96,"Entrega puntual, producto exactamente como se describía en la página.",Fabricado con materiales sustentables y proceso ecológico.
ORD-00039,2023-04-21,April,Libros,PayPal,Oeste,En tránsito,M,3436.95,17,0.09,53169.62,19,3.0,3,292.89,"Increíble relación calidad-precio, definitivamente volvería a comprar.",Producto certificado con garantía extendida de 12 meses.
ORD-00040,2023-06-22,June,Hogar,Tarjeta de débito,Oeste,Entregado,F,2228.75,3,0.18,5482.72,64,3.9,7,68.17,"Producto de alta calidad, superó todas mis expectativas.",Dispositivo de última generación con tecnología avanzada.
ORD-00041,2023-02-22,February,Libros,Efectivo,Este,Entregado,F,654.09,19,0.08,11433.49,26,3.0,8,57.85,"Producto de alta calidad, superó todas mis expectativas.",Alta resistencia y durabilidad probada bajo estándares internacionales.
ORD-00042,2023-02-17,February,Belleza,Transferencia,Norte,Entregado,M,2501.13,1,0.11,2226.01,36,3.4,2,203.01,Tardó más de lo esperado pero el producto está bien.,Fabricado con materiales sustentables y proceso ecológico.
ORD-00043,2023-07-14,July,Deportes,Tarjeta de débito,Norte,Devuelto,No especificado,220.22,12,0.21,2087.69,59,4.6,1,124.41,No era exactamente lo que buscaba pero funciona correctamente.,Compatible con múltiples plataformas y sistemas operativos.
ORD-00044,2023-02-19,February,Deportes,Efectivo,Sur,Entregado,M,4551.14,7,0.33,21344.85,53,2.6,5,7.27,El empaque llegó dañado aunque el producto estaba bien.,Alta resistencia y durabilidad probada bajo estándares internacionales.
ORD-00045,2023-07-03,July,Ropa,Tarjeta de débito,Este,Entregado,M,1330.96,4,0.16,4472.03,27,2.5,8,104.06,El empaque llegó dañado aunque el producto estaba bien.,Alta resistencia y durabilidad probada bajo estándares internacionales.
ORD-00046,2023-06-26,June,Alimentos,Transferencia,Sur,Entregado,F,3329.49,10,0.29,23639.38,57,1.0,14,242.02,"Excelente producto, llegó a tiempo y en perfectas condiciones.",Compatible con múltiples plataformas y sistemas operativos.
ORD-00047,2023-11-06,November,Hogar,Tarjeta de crédito,Norte,Devuelto,M,1592.97,13,0.35,13460.6,62,3.5,3,239.23,Tardó más de lo esperado pero el producto está bien.,Compatible con múltiples plataformas y sistemas operativos.
ORD-00048,2023-05-16,May,Deportes,Efectivo,Oeste,Entregado,M,2624.34,2,0.09,4776.3,56,1.1,6,148.41,No era exactamente lo que buscaba pero funciona correctamente.,Fabricado con materiales sustentables y proceso ecológico.
ORD-00049,2023-01-23,January,Juguetes,Transferencia,Este,Entregado,No especificado,2756.22,10,0.32,18742.3,24,3.0,3,141.77,El empaque llegó dañado aunque el producto estaba bien.,Alta resistencia y durabilidad probada bajo estándares internacionales.
ORD-00050,2023-08-24,August,Belleza,PayPal,Este,Devuelto,M,965.03,4,0.3,2702.08,21,4.2,6,173.85,"Producto de alta calidad, superó todas mis expectativas.",Fabricado con materiales sustentables y proceso ecológico.
ORD-00051,2023-10-02,October,Electrónica,Efectivo,Este,Entregado,M,4849.44,18,0.14,75069.33,32,3.2,12,65.82,"Entrega puntual, producto exactamente como se describía en la página.",Edición especial con características exclusivas para el usuario.
ORD-00052,2023-03-05,March,Belleza,Tarjeta de crédito,Oeste,Cancelado,F,3886.91,5,0.4,11660.73,29,2.1,4,157.81,"Entrega puntual, producto exactamente como se describía en la página.",Compatible con múltiples plataformas y sistemas operativos.
ORD-00053,2023-07-13,July,Juguetes,Transferencia,Este,Devuelto,M,4700.52,19,0.11,79485.79,65,4.1,14,3.31,No era exactamente lo que buscaba pero funciona correctamente.,Dispositivo de última generación con tecnología avanzada.
ORD-00054,2023-02-10,February,Deportes,Transferencia,Centro,Entregado,F,4479.4,2,0.1,8062.92,23,2.1,11,142.67,El empaque llegó dañado aunque el producto estaba bien.,Diseño ergonómico ideal para uso diario y profesional.
ORD-00055,2023-10-10,October,Deportes,Tarjeta de débito,Este,Entregado,F,3009.6,12,0.31,24919.49,26,3.9,7,100.82,No era exactamente lo que buscaba pero funciona correctamente.,Alta resistencia y durabilidad probada bajo estándares internacionales.
ORD-00056,2023-05-31,May,Hogar,Efectivo,Oeste,Entregado,F,4613.28,17,0.17,65093.38,52,3.4,11,202.46,"El producto no cumplió mis expectativas, la calidad es regular.",Producto certificado con garantía extendida de 12 meses.
ORD-00057,2023-11-18,November,Libros,Tarjeta de crédito,Este,Cancelado,M,488.04,10,0.13,4245.95,25,1.7,10,191.51,"El producto no cumplió mis expectativas, la calidad es regular.",Edición especial con características exclusivas para el usuario.
ORD-00058,2023-11-13,November,Electrónica,PayPal,Centro,Entregado,No especificado,1020.12,2,0.07,1897.42,24,4.6,1,114.25,Tardó más de lo esperado pero el producto está bien.,Material premium con acabado de alta calidad y durabilidad.
ORD-00059,2023-07-05,July,Electrónica,Tarjeta de débito,Centro,En tránsito,M,273.88,6,0.31,1133.86,21,1.8,1,2.18,"Excelente producto, llegó a tiempo y en perfectas condiciones.",Fabricado con materiales sustentables y proceso ecológico.
ORD-00060,2023-10-23,October,Libros,Efectivo,Este,Entregado,F,1660.39,8,0.31,9165.35,30,5.0,5,75.68,El empaque llegó dañado aunque el producto estaba bien.,Material premium con acabado de alta calidad y durabilidad.
ORD-00061,2023-04-09,April,Hogar,Tarjeta de crédito,Norte,Entregado,No especificado,1973.95,19,0.23,28878.89,36,1.0,9,190.0,El empaque llegó dañado aunque el producto estaba bien.,Edición especial con características exclusivas para el usuario.
ORD-00062,2023-12-27,December,Deportes,Tarjeta de débito,Norte,Entregado,M,1393.18,11,0.38,9501.49,24,2.1,5,21.71,"Increíble relación calidad-precio, definitivamente volvería a comprar.",Material premium con acabado de alta calidad y durabilidad.
ORD-00063,2023-02-05,February,Libros,Tarjeta de crédito,Sur,Entregado,M,4152.25,12,0.13,43349.49,27,1.8,4,32.29,"Producto de alta calidad, superó todas mis expectativas.",Edición especial con características exclusivas para el usuario.
ORD-00064,2023-01-24,January,Belleza,Tarjeta de crédito,Centro,Entregado,M,1815.93,9,0.09,14872.47,42,1.1,8,194.11,"Producto de alta calidad, superó todas mis expectativas.",Producto certificado con garantía extendida de 12 meses.
ORD-00065,2023-12-05,December,Belleza,Tarjeta de débito,Norte,Entregado,No especificado,1440.63,2,0.27,2103.32,61,3.9,13,226.73,El empaque llegó dañado aunque el producto estaba bien.,Material premium con acabado de alta calidad y durabilidad.
ORD-00066,2023-04-27,April,Belleza,Tarjeta de débito,Sur,Entregado,F,2736.35,8,0.3,15323.56,52,3.8,5,96.46,"El producto no cumplió mis expectativas, la calidad es regular.",Material premium con acabado de alta calidad y durabilidad.
ORD-00067,2023-05-29,May,Electrónica,Efectivo,Norte,Entregado,No especificado,747.57,11,0.09,7483.18,42,4.2,1,146.9,"Excelente producto, llegó a tiempo y en perfectas condiciones.",Material premium con acabado de alta calidad y durabilidad.
ORD-00068,2023-02-10,February,Electrónica,Tarjeta de débito,Este,Entregado,F,4020.88,4,0.03,15601.01,46,2.0,7,283.71,"Muy buena compra, lo recomiendo ampliamente a todos.",Fabricado con materiales sustentables y proceso ecológico.
ORD-00069,2023-04-30,April,Belleza,Efectivo,Centro,Entregado,M,419.03,10,0.32,2849.4,29,2.8,11,283.66,No era exactamente lo que buscaba pero funciona correctamente.,Dispositivo de última generación con tecnología avanzada.
ORD-00070,2023-02-21,February,Belleza,Tarjeta de crédito,Norte,Entregado,M,4935.09,16,0.39,48166.48,68,3.6,4,92.25,"Muy buena compra, lo recomiendo ampliamente a todos.",Producto certificado con garantía extendida de 12 meses.
ORD-00071,2023-07-14,July,Belleza,Tarjeta de débito,Este,Entregado,No especificado,3872.61,8,0.26,22925.85,64,2.8,10,243.0,Servicio al cliente muy atento y resolvieron mis dudas rápido.,Fabricado con materiales sustentables y proceso ecológico.
ORD-00072,2023-05-23,May,Deportes,Efectivo,Sur,En tránsito,F,1033.64,4,0.11,3679.76,57,3.8,5,178.18,"El producto no cumplió mis expectativas, la calidad es regular.",Producto certificado con garantía extendida de 12 meses.
ORD-00073,2023-08-21,August,Deportes,Efectivo,Este,Entregado,M,77.33,10,0.4,463.98,29,3.5,13,292.65,"Increíble relación calidad-precio, definitivamente volvería a comprar.",Fabricado con materiales sustentables y proceso ecológico.
ORD-00074,2023-11-22,November,Ropa,PayPal,Sur,Cancelado,F,4086.53,12,0.36,31384.55,69,1.5,6,143.28,"Entrega puntual, producto exactamente como se describía en la página.",Edición especial con características exclusivas para el usuario.
ORD-00075,2023-07-06,July,Juguetes,Efectivo,Norte,Entregado,M,3548.94,14,0.21,39251.28,23,4.1,13,232.41,Tardó más de lo esperado pero el producto está bien.,Edición especial con características exclusivas para el usuario.
ORD-00076,2023-03-25,March,Libros,Efectivo,Oeste,En tránsito,M,3658.59,16,0.33,39220.08,27,3.9,7,230.44,Tardó más de lo esperado pero el producto está bien.,Edición especial con características exclusivas para el usuario.
ORD-00077,2023-07-09,July,Deportes,PayPal,Este,Entregado,F,3867.79,18,0.33,46645.55,19,3.6,11,149.23,"El producto no cumplió mis expectativas, la calidad es regular.",Producto certificado con garantía extendida de 12 meses.
ORD-00078,2023-07-01,July,Ropa,Transferencia,Oeste,Entregado,M,416.52,12,0.37,3148.89,62,1.6,2,238.69,Servicio al cliente muy atento y resolvieron mis dudas rápido.,Diseño ergonómico ideal para uso diario y profesional.
ORD-00079,2023-04-18,April,Hogar,Tarjeta de débito,Centro,Entregado,M,1824.41,18,0.34,21673.99,42,2.1,14,78.31,Tardó más de lo esperado pero el producto está bien.,Edición especial con características exclusivas para el usuario.
ORD-00080,2023-12-10,December,Belleza,PayPal,Oeste,Entregado,F,623.55,7,0.26,3229.99,24,2.6,1,36.68,No era exactamente lo que buscaba pero funciona correctamente.,Dispositivo de última generación con tecnología avanzada.
ORD-00081,2023-05-17,May,Electrónica,Efectivo,Centro,Entregado,F,4322.36,7,0.24,22994.96,57,2.1,12,127.55,Tardó más de lo esperado pero el producto está bien.,Edición especial con características exclusivas para el usuario.
ORD-00082,2023-12-26,December,Libros,Efectivo,Norte,Entregado,M,3135.33,9,0.19,22856.56,40,1.9,3,283.09,El empaque llegó dañado aunque el producto estaba bien.,Edición especial con características exclusivas para el usuario.
ORD-00083,2023-12-16,December,Juguetes,Tarjeta de débito,Norte,Entregado,M,1687.95,1,0.25,1265.96,65,4.2,10,150.22,"El producto no cumplió mis expectativas, la calidad es regular.",Fabricado con materiales sustentables y proceso ecológico.
ORD-00084,2023-11-28,November,Hogar,Tarjeta de crédito,Este,Entregado,No especificado,364.61,6,0.32,1487.61,28,3.6,12,190.58,Servicio al cliente muy atento y resolvieron mis dudas rápido.,Compatible con múltiples plataformas y sistemas operativos.
ORD-00085,2023-02-06,February,Libros,PayPal,Oeste,Entregado,M,1589.36,6,0.39,5817.06,53,3.3,1,187.25,"Excelente producto, llegó a tiempo y en perfectas condiciones.",Compatible con múltiples plataformas y sistemas operativos.
ORD-00086,2023-11-08,November,Libros,Transferencia,Centro,Entregado,M,1659.66,12,0.19,16131.9,66,1.9,4,39.77,"Entrega puntual, producto exactamente como se describía en la página.",Dispositivo de última generación con tecnología avanzada.
ORD-00087,2023-11-22,November,Deportes,Tarjeta de débito,Centro,Entregado,M,3661.55,12,0.23,33832.72,65,4.7,6,117.09,"El producto no cumplió mis expectativas, la calidad es regular.",Alta resistencia y durabilidad probada bajo estándares internacionales.
ORD-00088,2023-03-29,March,Ropa,Tarjeta de débito,Oeste,Entregado,M,3205.91,10,0.18,26288.46,68,1.8,5,212.08,No era exactamente lo que buscaba pero funciona correctamente.,Diseño ergonómico ideal para uso diario y profesional.
ORD-00089,2023-10-01,October,Libros,PayPal,Norte,Entregado,F,4441.7,6,0.27,19454.65,40,4.2,13,291.6,No era exactamente lo que buscaba pero funciona correctamente.,Compatible con múltiples plataformas y sistemas operativos.
ORD-00090,2023-05-06,May,Juguetes,Efectivo,Norte,Entregado,F,2387.46,17,0.25,30440.12,60,4.9,11,50.41,"Entrega puntual, producto exactamente como se describía en la página.",Producto certificado con garantía extendida de 12 meses.
ORD-00091,2023-03-25,March,Hogar,Efectivo,Centro,Entregado,F,641.99,19,0.01,12075.83,24,3.9,4,123.13,"Producto de alta calidad, superó todas mis expectativas.",Producto certificado con garantía extendida de 12 meses.
ORD-00092,2023-08-25,August,Juguetes,Transferencia,Este,Entregado,F,3580.56,18,0.22,50271.06,44,5.0,7,28.53,"Muy buena compra, lo recomiendo ampliamente a todos.",Producto certificado con garantía extendida de 12 meses.
ORD-00093,2023-07-14,July,Libros,PayPal,Norte,Entregado,No especificado,3815.89,6,0.04,21979.53,30,3.6,13,72.71,No era exactamente lo que buscaba pero funciona correctamente.,Alta resistencia y durabilidad probada bajo estándares internacionales.
ORD-00094,2023-05-19,May,Alimentos,Tarjeta de débito,Sur,Entregado,M,2828.32,19,0.01,53200.7,68,1.9,11,113.03,"Excelente producto, llegó a tiempo y en perfectas condiciones.",Producto certificado con garantía extendida de 12 meses.
ORD-00095,2023-11-24,November,Juguetes,PayPal,Centro,Cancelado,F,3866.29,10,0.32,26290.77,34,1.8,11,162.19,"Producto de alta calidad, superó todas mis expectativas.",Alta resistencia y durabilidad probada bajo estándares internacionales.
ORD-00096,2023-12-19,December,Juguetes,Tarjeta de crédito,Oeste,Cancelado,F,2494.29,8,0.1,17958.89,49,2.3,6,69.17,"Excelente producto, llegó a tiempo y en perfectas condiciones.",Alta resistencia y durabilidad probada bajo estándares internacionales.
ORD-00097,2023-10-13,October,Belleza,Tarjeta de débito,Oeste,Entregado,M,2637.53,6,0.14,13609.65,43,1.0,3,68.27,"Producto de alta calidad, superó todas mis expectativas.",Fabricado con materiales sustentables y proceso ecológico.
ORD-00098,2023-04-23,April,Alimentos,Transferencia,Centro,Entregado,F,2166.33,7,0.03,14709.38,39,3.7,9,233.35,Servicio al cliente muy atento y resolvieron mis dudas rápido.,Material premium con acabado de alta calidad y durabilidad.
ORD-00099,2023-12-17,December,Ropa,Transferencia,Centro,Entregado,F,175.82,1,0.07,163.51,30,2.1,5,288.79,"Entrega puntual, producto exactamente como se describía en la página.",Fabricado con materiales sustentables y proceso ecológico.
ORD-00100,2023-06-16,June,Alimentos,Tarjeta de débito,Norte,Entregado,M,584.06,18,0.31,7254.03,29,4.3,13,97.08,No era exactamente lo que buscaba pero funciona correctamente.,Producto certificado con garantía extendida de 12 meses.
ORD-00101,2023-01-29,January,Electrónica,Efectivo,Centro,Entregado,M,205.57,12,0.2,1973.47,24,2.4,10,206.4,"Producto de alta calidad, superó todas mis expectativas.",Compatible con múltiples plataformas y sistemas operativos.
ORD-00102,2023-04-28,April,Alimentos,Tarjeta de débito,Centro,Entregado,M,3200.23,16,0.35,33282.39,18,2.9,1,77.42,"Muy buena compra, lo recomiendo ampliamente a todos.",Compatible con múltiples plataformas y sistemas operativos.
ORD-00103,2023-01-17,January,Libros,Tarjeta de débito,Sur,Entregado,M,1606.06,10,0.16,13490.9,50,4.9,13,278.39,"Entrega puntual, producto exactamente como se describía en la página.",Producto certificado con garantía extendida de 12 meses.
ORD-00104,2023-06-11,June,Hogar,Tarjeta de crédito,Oeste,En tránsito,M,2567.42,10,0.11,22850.04,69,2.0,6,201.87,"Muy buena compra, lo recomiendo ampliamente a todos.",Alta resistencia y durabilidad probada bajo estándares internacionales.
ORD-00105,2023-07-25,July,Belleza,Tarjeta de débito,Norte,En tránsito,F,4542.45,14,0.14,54691.1,31,3.9,5,240.8,"Muy buena compra, lo recomiendo ampliamente a todos.",Alta resistencia y durabilidad probada bajo estándares internacionales.
ORD-00106,2023-05-18,May,Belleza,PayPal,Este,Cancelado,M,1284.0,10,0.29,9116.4,64,4.0,10,14.81,"El producto no cumplió mis expectativas, la calidad es regular.",Dispositivo de última generación con tecnología avanzada.
ORD-00107,2023-02-03,February,Electrónica,PayPal,Norte,Entregado,F,2081.4,10,0.22,16234.92,60,1.9,8,179.55,Servicio al cliente muy atento y resolvieron mis dudas rápido.,Fabricado con materiales sustentables y proceso ecológico.
ORD-00108,2023-04-19,April,Juguetes,Transferencia,Oeste,Devuelto,M,3789.98,11,0.36,26681.46,58,3.0,4,158.28,"Entrega puntual, producto exactamente como se describía en la página.",Diseño ergonómico ideal para uso diario y profesional.
ORD-00109,2023-10-18,October,Electrónica,Efectivo,Este,Entregado,F,1182.55,2,0.24,1797.48,34,2.4,12,87.9,"Entrega puntual, producto exactamente como se describía en la página.",Diseño ergonómico ideal para uso diario y profesional.
ORD-00110,2023-06-11,June,Deportes,Transferencia,Centro,Entregado,F,431.05,8,0.2,2758.72,21,4.1,1,78.73,El empaque llegó dañado aunque el producto estaba bien.,Edición especial con características exclusivas para el usuario.
ORD-00111,2023-04-19,April,Deportes,Tarjeta de crédito,Sur,Devuelto,F,1484.27,7,0.31,7169.02,69,3.5,11,174.01,"Producto de alta calidad, superó todas mis expectativas.",Dispositivo de última generación con tecnología avanzada.
ORD-00112,2023-12-02,December,Libros,Tarjeta de débito,Sur,Cancelado,F,848.05,8,0.38,4206.33,68,2.9,2,211.95,Servicio al cliente muy atento y resolvieron mis dudas rápido.,Alta resistencia y durabilidad probada bajo estándares internacionales.
ORD-00113,2023-09-13,September,Belleza,Transferencia,Oeste,Entregado,M,4652.0,1,0.14,4000.72,56,4.1,8,9.95,Servicio al cliente muy atento y resolvieron mis dudas rápido.,Fabricado con materiales sustentables y proceso ecológico.
ORD-00114,2023-07-22,July,Hogar,Tarjeta de débito,Oeste,Entregado,M,4050.2,2,0.1,7290.36,18,1.9,10,170.22,"Entrega puntual, producto exactamente como se describía en la página.",Fabricado con materiales sustentables y proceso ecológico.
ORD-00115,2023-11-26,November,Alimentos,Transferencia,Sur,Entregado,M,3185.35,18,0.25,43002.22,58,4.0,8,51.14,Tardó más de lo esperado pero el producto está bien.,Producto certificado con garantía extendida de 12 meses.
ORD-00116,2023-08-23,August,Deportes,Tarjeta de débito,Este,Entregado,No especificado,4363.73,15,0.2,52364.76,62,4.5,13,42.11,"Increíble relación calidad-precio, definitivamente volvería a comprar.",Compatible con múltiples plataformas y sistemas operativos.
ORD-00117,2023-03-15,March,Juguetes,Transferencia,Este,En tránsito,F,4028.18,1,0.4,2416.91,41,4.5,14,186.94,Servicio al cliente muy atento y resolvieron mis dudas rápido.,Compatible con múltiples plataformas y sistemas operativos.
ORD-00118,2023-05-16,May,Ropa,PayPal,Norte,Entregado,F,973.52,5,0.18,3991.43,51,4.1,5,93.26,El empaque llegó dañado aunque el producto estaba bien.,Compatible con múltiples plataformas y sistemas operativos.
ORD-00119,2023-03-13,March,Ropa,Tarjeta de crédito,Centro,Entregado,F,4468.17,2,0.03,8668.25,51,2.6,6,132.26,"Increíble relación calidad-precio, definitivamente volvería a comprar.",Edición especial con características exclusivas para el usuario.
