marca,modelo,anio,precio,kilometraje,tipo,color,condicion,ventas
Hyundai,Sonata,2023,,74414.0,Pickup,Gris,Bueno,376
Volkswagen,Tiguan,2018,27700.0,23168.0,Pickup,Plateado,Excelente,354
Ford,F-150,2020,26500.0,44592.0,Sedán,Negro,Bueno,358
BMW,530i,2021,50900.0,16359.0,SUV,Rojo,Excelente,248
Toyota,Corolla,2021,,45513.0,Sedán,Gris,Bueno,331
Nissan,Sentra,2018,17900.0,47579.0,SUV,Azul,Bueno,423
Chevrolet,Silverado,2022,28900.0,49908.0,Hatchback,Rojo,Bueno,463
Honda,CR-V,2017,16700.0,59073.0,Pickup,Plateado,Bueno,336
Volkswagen,Tiguan,2020,28700.0,28865.0,SUV,Azul,Excelente,302
Hyundai,Tucson,2016,16400.0,55330.0,Hatchback,Rojo,Bueno,452
Chevrolet,Silverado,2022,35500.0,6174.0,SUV,Blanco,Excelente,307
Mercedes,E300,2022,55600.0,89381.0,Sedán,Blanco,Regular,227
BMW,320i,2018,41100.0,82728.0,Pickup,Plateado,Regular,176
Honda,CR-V,2016,15200.0,40989.0,Hatchback,Gris,Bueno,395
Ford,Escape,2022,34500.0,49083.0,Sedán,Azul,Bueno,316
Mercedes,GLE,2016,44700.0,54983.0,Hatchback,Plateado,Bueno,294
Mercedes,E300,2022,50500.0,46373.0,Pickup,Gris,Bueno,196
Hyundai,Sonata,2015,17500.0,15152.0,Sedán,Plateado,Excelente,464
Ford,Explorer,2016,24300.0,43525.0,Pickup,Rojo,Bueno,225
Toyota,Camry,2021,20000.0,141314.0,Hatchback,Blanco,Malo,253
Nissan,Rogue,2016,8400.0,96613.0,Pickup,Gris,Regular,402
Hyundai,Tucson,2023,21200.0,84127.0,Hatchback,Negro,Regular,387
Ford,Escape,2022,25500.0,83540.0,SUV,Negro,Regular,295
Nissan,Sentra,2021,19500.0,93507.0,Hatchback,Negro,Regular,297
Honda,Civic,2019,22400.0,28663.0,Pickup,Rojo,Excelente,431
Chevrolet,Silverado,2019,28000.0,35781.0,SUV,Gris,Bueno,369
Nissan,Sentra,2016,21700.0,8595.0,Sedán,Blanco,Excelente,448
Mercedes,GLE,2018,50500.0,20380.0,SUV,Negro,Excelente,242
Toyota,Camry,2023,26300.0,37586.0,Pickup,Negro,Bueno,328
Kia,Forte,2021,24000.0,46293.0,SUV,Negro,Bueno,347
Mercedes,E300,2015,45300.0,14379.0,Hatchback,Gris,Excelente,251
Chevrolet,Silverado,2021,35500.0,48752.0,SUV,Plateado,Bueno,306
BMW,320i,2018,42900.0,41690.0,Pickup,Azul,Bueno,304
Honda,Civic,2016,21100.0,12415.0,Pickup,Negro,Excelente,476
Kia,Sorento,2017,15200.0,83194.0,Sedán,Azul,Regular,348
Toyota,Corolla,2023,30200.0,39559.0,Sedán,Azul,Bueno,398
Mercedes,GLE,2022,55600.0,23312.0,Pickup,Negro,Excelente,267
BMW,X3,2021,45900.0,15374.0,Hatchback,Negro,Excelente,328
Nissan,Sentra,2016,13500.0,68922.0,SUV,Blanco,Bueno,426
Hyundai,Sonata,2016,5600.0,105309.0,Pickup,Blanco,Regular,341
Chevrolet,Silverado,2020,27100.0,30956.0,Pickup,Gris,Bueno,390
Volkswagen,Tiguan,2021,28700.0,,Hatchback,Rojo,Excelente,348
Kia,Sportage,2023,22200.0,27886.0,Pickup,Azul,Excelente,420
Hyundai,Tucson,2016,17100.0,25201.0,Sedán,Blanco,Excelente,420
Hyundai,Sonata,2019,16800.0,83582.0,Pickup,Plateado,Regular,367
Hyundai,Sonata,2016,20500.0,18914.0,SUV,Azul,Excelente,389
Ford,F-150,2016,28400.0,27745.0,SUV,Azul,Excelente,339
BMW,X3,2021,36700.0,103767.0,Pickup,Negro,Regular,277
Honda,Accord,2015,17600.0,,Pickup,Blanco,Excelente,385
Kia,Sportage,2019,17200.0,10957.0,Sedán,Blanco,Excelente,393
Ford,F-150,2016,18800.0,103916.0,Hatchback,Rojo,Regular,345
Mercedes,E300,2019,50200.0,16355.0,Sedán,Negro,Excelente,295
Hyundai,Elantra,2017,15000.0,84942.0,Sedán,Azul,Regular,452
Toyota,Corolla,2022,22400.0,80088.0,Hatchback,Blanco,Regular,327
Kia,Forte,2018,17000.0,50846.0,Sedán,Negro,Bueno,384
Kia,Sorento,2021,26600.0,7951.0,Pickup,Negro,Excelente,354
Chevrolet,Malibu,2021,32300.0,24538.0,Pickup,Negro,Excelente,354
Hyundai,Elantra,2017,18800.0,16538.0,Hatchback,Plateado,Excelente,422
BMW,320i,2020,,131458.0,Sedán,Negro,Malo,215
Mercedes,C200,2020,50500.0,55002.0,Pickup,Azul,Bueno,232
Toyota,Corolla,2017,23900.0,27741.0,Pickup,Azul,Excelente,380
Kia,Sorento,2021,20200.0,84769.0,Pickup,Gris,Regular,403
Toyota,Corolla,2022,23000.0,34596.0,SUV,Rojo,Bueno,357
Mercedes,E300,2016,44600.0,18840.0,Pickup,Rojo,Excelente,364
Hyundai,Tucson,2023,19200.0,99715.0,SUV,Rojo,Regular,295
Nissan,Rogue,2019,17400.0,118758.0,Sedán,Plateado,Regular,355
Nissan,Sentra,2018,18300.0,36116.0,SUV,Plateado,Bueno,379
BMW,320i,2016,41300.0,85464.0,SUV,Plateado,Regular,251
Mercedes,E300,2023,50400.0,97711.0,Pickup,Blanco,Regular,238
Toyota,Camry,2020,23400.0,51043.0,Hatchback,Blanco,Bueno,366
Honda,Civic,2015,10200.0,103321.0,Pickup,Negro,Regular,365
Volkswagen,Tiguan,2016,23600.0,15511.0,Pickup,Gris,Excelente,361
Mercedes,C200,2020,50300.0,57771.0,Hatchback,Negro,Bueno,245
Chevrolet,Malibu,2021,33200.0,53862.0,SUV,Gris,Bueno,332
Kia,Sportage,2016,16700.0,9361.0,Pickup,Plateado,Excelente,442
Chevrolet,Silverado,2022,27400.0,99804.0,SUV,Plateado,Regular,396
Honda,CR-V,2020,24600.0,31680.0,SUV,Gris,Bueno,381
Ford,F-150,2020,32600.0,6752.0,Sedán,Negro,Excelente,378
Hyundai,Elantra,2018,16700.0,68273.0,Hatchback,Negro,Bueno,420
BMW,X3,2018,38500.0,107643.0,Pickup,Gris,Regular,305
Volkswagen,Tiguan,2017,23100.0,51851.0,Hatchback,Plateado,Bueno,337
Nissan,Altima,2016,20100.0,18631.0,Pickup,Plateado,Excelente,389
Hyundai,Sonata,2023,22100.0,57708.0,Sedán,Rojo,Bueno,320
Honda,CR-V,2019,20900.0,10951.0,Pickup,Gris,Excelente,469
Volkswagen,Golf,2020,30000.0,19095.0,Sedán,Azul,Excelente,344
Chevrolet,Equinox,2015,27100.0,25126.0,Sedán,Blanco,Excelente,420
Toyota,RAV4,2020,25900.0,16327.0,SUV,Azul,Excelente,365
Toyota,RAV4,2017,21600.0,37260.0,SUV,Rojo,Bueno,303
Volkswagen,Jetta,2016,12100.0,156136.0,Sedán,Gris,Malo,344
Honda,CR-V,2020,25700.0,18295.0,Hatchback,Negro,Excelente,387
BMW,320i,2021,46200.0,62765.0,Pickup,Negro,Bueno,216
Volkswagen,Tiguan,2016,22700.0,25300.0,Hatchback,Gris,Excelente,430
Hyundai,Elantra,2018,19000.0,58910.0,SUV,Rojo,Bueno,449
Honda,Accord,2020,23900.0,30078.0,Pickup,Rojo,Bueno,360
Honda,Civic,2020,26600.0,32651.0,Sedán,Blanco,Bueno,361
Nissan,Rogue,2015,14100.0,19776.0,Sedán,Rojo,Excelente,474
Volkswagen,Golf,2019,27900.0,32134.0,Pickup,Rojo,Bueno,452
Mercedes,GLE,2017,47000.0,20417.0,Pickup,Azul,Excelente,385
Volkswagen,Tiguan,2020,15600.0,116704.0,Hatchback,Gris,Regular,351
Nissan,Altima,2016,14100.0,68134.0,Pickup,Gris,Bueno,404
Chevrolet,Silverado,2020,32500.0,20748.0,SUV,Gris,Excelente,447
Ford,Escape,2018,26300.0,68692.0,Pickup,Rojo,Bueno,392
Volkswagen,Golf,2021,25800.0,28852.0,SUV,Blanco,Excelente,367
Hyundai,Elantra,2021,20300.0,52023.0,Sedán,Negro,Bueno,393
Hyundai,Tucson,2023,17000.0,93722.0,Sedán,Rojo,Regular,329
Honda,CR-V,2018,23400.0,33076.0,SUV,Blanco,Bueno,407
Nissan,Altima,2019,22500.0,13759.0,Sedán,Blanco,Excelente,442
Mercedes,C200,2017,42700.0,54365.0,Sedán,Azul,Bueno,315
Kia,Sportage,2023,8600.0,200000.0,SUV,Azul,Malo,371
Nissan,Sentra,2015,19100.0,8066.0,SUV,Azul,Excelente,395
Chevrolet,Silverado,2015,20600.0,45829.0,Sedán,Rojo,Bueno,352
Toyota,Corolla,2019,28400.0,12517.0,SUV,Gris,Excelente,380
Mercedes,C200,2017,53000.0,19749.0,SUV,Rojo,Excelente,288
Hyundai,Tucson,2018,9600.0,,SUV,Plateado,Malo,280
Kia,Sorento,2015,13700.0,24824.0,Hatchback,Plateado,Excelente,369
BMW,320i,2023,48900.0,59139.0,Hatchback,Blanco,Bueno,229
BMW,X3,2018,39700.0,64234.0,Sedán,Negro,Bueno,273
Kia,Forte,2016,5500.0,131873.0,Pickup,Negro,Malo,308
Chevrolet,Malibu,2021,33100.0,21537.0,Sedán,Rojo,Excelente,350
Volkswagen,Golf,2015,25100.0,19352.0,SUV,Plateado,Excelente,427
Mercedes,E300,2021,51700.0,29616.0,SUV,Rojo,Excelente,247
Honda,Accord,2023,24200.0,47781.0,Hatchback,Plateado,Bueno,377
Chevrolet,Equinox,2017,25100.0,28934.0,Sedán,Negro,Excelente,390
Chevrolet,Silverado,2018,29100.0,15929.0,Sedán,Plateado,Excelente,390
Chevrolet,Malibu,2020,28100.0,9363.0,Pickup,Gris,Excelente,430
BMW,530i,2016,44300.0,37448.0,Pickup,Blanco,Bueno,288
Nissan,Rogue,2023,25400.0,,Pickup,Rojo,Excelente,418
Toyota,RAV4,2022,22400.0,82065.0,Hatchback,Rojo,Regular,324
Mercedes,E300,2016,44200.0,19173.0,Pickup,Gris,Excelente,298
Mercedes,GLE,2021,49700.0,68242.0,Pickup,Azul,Bueno,239
Mercedes,GLE,2019,47800.0,77267.0,Sedán,Azul,Bueno,199
Volkswagen,Tiguan,2019,26000.0,19245.0,Sedán,Rojo,Excelente,363
BMW,530i,2019,42500.0,40972.0,SUV,Gris,Bueno,319
Kia,Forte,2018,13400.0,99499.0,Sedán,Blanco,Regular,337
Honda,Civic,2015,15700.0,91608.0,Hatchback,Gris,Regular,335
Nissan,Altima,2022,19600.0,108718.0,Pickup,Azul,Regular,324
Ford,F-150,2015,23800.0,40578.0,Hatchback,Gris,Bueno,379
Hyundai,Elantra,2019,17100.0,37335.0,Sedán,Plateado,Bueno,330
Mercedes,GLE,2020,54300.0,15391.0,SUV,Negro,Excelente,322
Ford,F-150,2018,29400.0,57759.0,SUV,Azul,Bueno,334
Chevrolet,Equinox,2022,38300.0,11224.0,Hatchback,Rojo,Excelente,358
Honda,CR-V,2015,12800.0,,SUV,Blanco,Regular,260
Honda,Accord,2018,20100.0,18075.0,Pickup,Blanco,Excelente,450
Kia,Sorento,2016,16600.0,57650.0,Hatchback,Plateado,Bueno,381
Nissan,Rogue,2020,18600.0,77520.0,Pickup,Rojo,Bueno,360
Honda,CR-V,2017,25400.0,21001.0,Sedán,Gris,Excelente,361
Mercedes,E300,2021,52600.0,63467.0,Sedán,Negro,Bueno,247
Volkswagen,Jetta,2019,18700.0,106978.0,SUV,Negro,Regular,305
Kia,Sportage,2019,13400.0,73548.0,Sedán,Rojo,Bueno,447
Chevrolet,Malibu,2020,28100.0,86490.0,Hatchback,Gris,Regular,350
Ford,Explorer,2021,36200.0,40974.0,Hatchback,Plateado,Bueno,306
Ford,Escape,2019,27300.0,55973.0,Sedán,Rojo,Bueno,329
Toyota,RAV4,2021,26500.0,38096.0,Pickup,Rojo,Bueno,336
Chevrolet,Malibu,2022,30100.0,56373.0,Pickup,Blanco,Bueno,337
Ford,Escape,2022,34700.0,23848.0,Sedán,Rojo,Excelente,394
Nissan,Sentra,2021,26000.0,17935.0,Pickup,Gris,Excelente,327
Kia,Sportage,2015,11200.0,30892.0,Pickup,Plateado,Bueno,429
Nissan,Sentra,2019,22400.0,22505.0,Sedán,Gris,Excelente,321
BMW,530i,2017,,38267.0,SUV,Azul,Bueno,277
Chevrolet,Malibu,2018,22200.0,14762.0,Sedán,Rojo,Excelente,392
Mercedes,C200,2020,53100.0,24014.0,Hatchback,Blanco,Excelente,245
Chevrolet,Silverado,2022,31800.0,17200.0,Hatchback,Plateado,Excelente,325
Hyundai,Tucson,2020,19600.0,38103.0,Hatchback,Negro,Bueno,390
Volkswagen,Golf,2023,26200.0,24792.0,Pickup,Negro,Excelente,334
Hyundai,Sonata,2018,16100.0,20297.0,Sedán,Azul,Excelente,398
Volkswagen,Jetta,2016,23700.0,15717.0,Pickup,Gris,Excelente,338
Kia,Forte,2023,23900.0,20400.0,SUV,Blanco,Excelente,366
Nissan,Altima,2021,21400.0,50325.0,SUV,Blanco,Bueno,380
Toyota,Corolla,2020,23600.0,20184.0,SUV,Blanco,Excelente,380
Honda,Accord,2016,12600.0,97868.0,Hatchback,Plateado,Regular,374
Volkswagen,Golf,2017,21100.0,79493.0,SUV,Rojo,Bueno,337
Chevrolet,Malibu,2022,33100.0,12822.0,Sedán,Blanco,Excelente,329
Hyundai,Tucson,2015,19200.0,12118.0,Sedán,Negro,Excelente,410
Chevrolet,Equinox,2020,28400.0,32673.0,Sedán,Gris,Bueno,352
Hyundai,Tucson,2022,22700.0,20706.0,Hatchback,Blanco,Excelente,430
Hyundai,Tucson,2018,14100.0,44543.0,Pickup,Negro,Bueno,459
Hyundai,Tucson,2015,11500.0,51131.0,Hatchback,Plateado,Bueno,430
Mercedes,GLE,2020,46000.0,99664.0,Sedán,Azul,Regular,248
Honda,Accord,2021,29600.0,19261.0,Sedán,Rojo,Excelente,469
Honda,Accord,2019,12700.0,168569.0,Pickup,Rojo,Malo,367
Kia,Sorento,2016,11200.0,85081.0,Pickup,Rojo,Regular,297
Volkswagen,Jetta,2022,32100.0,18276.0,Pickup,Negro,Excelente,350
Volkswagen,Golf,2023,31900.0,39819.0,Pickup,Plateado,Bueno,323
Ford,F-150,2018,28900.0,71545.0,Hatchback,Plateado,Bueno,282
Kia,Forte,2022,27500.0,17226.0,Sedán,Plateado,Excelente,416
BMW,530i,2023,51100.0,29483.0,Sedán,Negro,Excelente,298
Ford,F-150,2020,28500.0,57443.0,SUV,Plateado,Bueno,294
Chevrolet,Silverado,2022,33800.0,16868.0,Sedán,Blanco,Excelente,407
Hyundai,Tucson,2020,23600.0,21752.0,Hatchback,Rojo,Excelente,423
Nissan,Altima,2023,24800.0,22887.0,Hatchback,Plateado,Excelente,466
BMW,320i,2018,45000.0,9853.0,Hatchback,Blanco,Excelente,288
BMW,530i,2023,51000.0,,SUV,Plateado,Excelente,315
Kia,Sorento,2021,20500.0,48379.0,Sedán,Rojo,Bueno,425
BMW,530i,2015,36900.0,72566.0,Sedán,Negro,Bueno,320
Hyundai,Elantra,2022,21600.0,39236.0,Pickup,Blanco,Bueno,308
Ford,Escape,2018,32000.0,39350.0,Pickup,Rojo,Bueno,329
Nissan,Rogue,2018,20800.0,35610.0,SUV,Gris,Bueno,394
Nissan,Sentra,2015,16900.0,23102.0,Sedán,Azul,Excelente,406
Mercedes,GLE,2022,50900.0,24898.0,Pickup,Plateado,Excelente,172
Ford,F-150,2018,32700.0,22232.0,Sedán,Plateado,Excelente,356
Hyundai,Sonata,2018,14500.0,14841.0,Hatchback,Plateado,Excelente,372
Volkswagen,Golf,2020,17300.0,127608.0,Sedán,Azul,Regular,362
Ford,Explorer,2021,36000.0,49151.0,Pickup,Gris,Bueno,314
Toyota,RAV4,2022,23000.0,118310.0,Sedán,Azul,Regular,266
Volkswagen,Golf,2019,27100.0,13435.0,SUV,Negro,Excelente,356
Honda,Accord,2015,18800.0,33008.0,Hatchback,Rojo,Bueno,365
Toyota,Camry,2017,25000.0,30605.0,SUV,Gris,Bueno,421
Volkswagen,Tiguan,2016,21900.0,19272.0,SUV,Gris,Excelente,384
BMW,X3,2020,42100.0,90917.0,Hatchback,Gris,Regular,295
Toyota,RAV4,2019,28300.0,20248.0,Sedán,Plateado,Excelente,335
BMW,X3,2016,38300.0,31780.0,SUV,Plateado,Bueno,277
Honda,CR-V,2017,14500.0,99688.0,Pickup,Negro,Regular,371
Kia,Sportage,2018,17500.0,30824.0,Hatchback,Azul,Bueno,356
Hyundai,Elantra,2015,6700.0,142790.0,Hatchback,Gris,Malo,352
Toyota,Camry,2020,21400.0,90449.0,SUV,Blanco,Regular,388
Chevrolet,Silverado,2016,24700.0,44504.0,Sedán,Rojo,Bueno,382
Volkswagen,Golf,2020,14500.0,131395.0,Sedán,Azul,Malo,300
Volkswagen,Jetta,2019,9000.0,153513.0,SUV,Rojo,Malo,292
Kia,Forte,2018,21100.0,10221.0,Sedán,Blanco,Excelente,325
Toyota,Camry,2016,21200.0,18210.0,SUV,Negro,Excelente,449
Ford,Escape,2015,20100.0,37248.0,Hatchback,Azul,Bueno,419
Ford,F-150,2016,28600.0,41855.0,SUV,Gris,Bueno,430
BMW,530i,2019,46400.0,21054.0,Pickup,Gris,Excelente,308
BMW,X3,2020,42900.0,42512.0,Hatchback,Rojo,Bueno,297
Kia,Sportage,2020,21600.0,17010.0,Hatchback,Plateado,Excelente,415
Nissan,Altima,2018,18800.0,28270.0,Pickup,Blanco,Excelente,457
Ford,Escape,2015,23100.0,99106.0,Pickup,Rojo,Regular,314
Nissan,Sentra,2017,19600.0,16931.0,Sedán,Blanco,Excelente,453
Hyundai,Sonata,2020,27800.0,25290.0,Pickup,Negro,Excelente,376
Mercedes,C200,2020,54300.0,66357.0,Sedán,Rojo,Bueno,248
Honda,Civic,2022,22100.0,73932.0,Pickup,Gris,Bueno,386
Toyota,Camry,2019,22300.0,71368.0,Sedán,Rojo,Bueno,373
Ford,Escape,2022,33400.0,32816.0,SUV,Plateado,Bueno,310
Ford,Explorer,2016,23900.0,7404.0,Hatchback,Blanco,Excelente,407
Nissan,Altima,2020,20300.0,,Hatchback,Negro,Excelente,381
Nissan,Rogue,2022,27400.0,25298.0,Sedán,Azul,Excelente,362
Nissan,Sentra,2015,18600.0,51469.0,Pickup,Blanco,Bueno,365
Nissan,Rogue,2018,19000.0,58890.0,SUV,Rojo,Bueno,465
Chevrolet,Silverado,2022,31500.0,27256.0,Pickup,Plateado,Excelente,414
Honda,Accord,2022,22800.0,56703.0,Pickup,Blanco,Bueno,408
Volkswagen,Jetta,2016,20000.0,25895.0,Pickup,Blanco,Excelente,444
Toyota,RAV4,2017,23100.0,48249.0,Pickup,Gris,Bueno,342
Ford,F-150,2020,29500.0,32408.0,Pickup,Negro,Bueno,369
Toyota,RAV4,2023,27600.0,66079.0,Sedán,Azul,Bueno,304
Toyota,RAV4,2015,15600.0,60618.0,Pickup,Gris,Bueno,376
BMW,X3,2015,42000.0,30509.0,Pickup,Negro,Bueno,295
Ford,F-150,2021,24000.0,72919.0,SUV,Blanco,Bueno,399
Kia,Sportage,2020,16400.0,102486.0,Sedán,Negro,Regular,382
Kia,Sorento,2018,11900.0,71845.0,Hatchback,Plateado,Bueno,460
Mercedes,C200,2018,49500.0,9248.0,SUV,Plateado,Excelente,288
Volkswagen,Jetta,2019,23300.0,61168.0,Pickup,Blanco,Bueno,361
Ford,Explorer,2020,32900.0,42318.0,Sedán,Rojo,Bueno,296
Volkswagen,Tiguan,2020,24900.0,73869.0,Hatchback,Rojo,Bueno,370
Volkswagen,Golf,2020,24300.0,11587.0,Sedán,Plateado,Excelente,339
Nissan,Sentra,2023,24100.0,75779.0,Hatchback,Gris,Bueno,293
BMW,320i,2021,42500.0,104535.0,Hatchback,Azul,Regular,273
Mercedes,E300,2018,42600.0,117051.0,Sedán,Rojo,Regular,261
Nissan,Altima,2018,10600.0,156013.0,Hatchback,Negro,Malo,269
Mercedes,C200,2015,48200.0,24151.0,Sedán,Negro,Excelente,297
Ford,Explorer,2019,30400.0,43816.0,Sedán,Blanco,Bueno,302
Chevrolet,Malibu,2022,30400.0,72875.0,SUV,Negro,Bueno,344
Toyota,Corolla,2019,19700.0,38245.0,Sedán,Negro,Bueno,397
BMW,X3,2019,43400.0,51294.0,SUV,Azul,Bueno,348
Ford,Escape,2020,30400.0,32031.0,SUV,Blanco,Bueno,376
Chevrolet,Equinox,2022,29400.0,68132.0,SUV,Gris,Bueno,268
Nissan,Rogue,2020,21700.0,58294.0,Sedán,Negro,Bueno,396
Toyota,RAV4,2019,13700.0,143422.0,Hatchback,Plateado,Malo,349
Chevrolet,Equinox,2015,27800.0,36248.0,SUV,Rojo,Bueno,374
